id,plateforme,genre,annee,nb_saisons,pays_origine,duree_ep_min,score_critique,note_spectateurs,nb_abonnes_impact
0,Netflix,Comedie,2010,1,Allemagne,41,7.1,6.4,1006
1,Netflix,Horreur,2014,3,France,63,6.8,7.5,152729
2,Disney+,SF,2015,3,Allemagne,29,6.3,4.9,114291
3,Disney+,Documentaire,2023,1,UK,69,7.6,6.2,2647952
4,Disney+,Thriller,2021,1,France,52,7.3,3.8,112295
5,Netflix,Documentaire,2020,2,USA,71,6.6,6.7,1727
6,Netflix,Thriller,2013,3,France,76,6.6,6.5,113515
7,Prime Video,SF,2013,3,UK,48,5.0,8.2,164539
8,Prime Video,Action,2022,4,France,40,6.9,5.7,1170627
9,Disney+,Drame,2022,1,USA,70,5.6,8.2,151283
10,Netflix,Thriller,2017,5,France,46,6.6,6.5,83655
11,Netflix,Romance,2015,2,Espagne,80,7.4,7.6,129720
12,Netflix,Thriller,2018,6,USA,52,4.8,7.8,13525197
13,Disney+,Documentaire,2010,6,USA,72,6.7,6.9,357299
14,Netflix,Documentaire,2015,5,USA,86,7.5,7.2,103410
15,Netflix,Thriller,2015,5,USA,67,5.2,6.1,790183
16,Netflix,Comedie,2016,3,France,61,6.3,8.4,27144
17,Netflix,Thriller,2021,1,UK,78,5.4,10.0,49754
18,Prime Video,Comedie,2021,5,USA,76,8.1,4.9,68567
19,Netflix,Comedie,2016,1,Espagne,34,6.3,6.9,9928
20,Netflix,Horreur,2020,6,USA,47,6.2,6.4,771555
21,Disney+,Documentaire,2017,3,Allemagne,42,8.0,7.4,46442
22,Prime Video,Comedie,2023,4,France,77,6.7,4.7,198088
23,Prime Video,Animation,2016,1,USA,60,9.2,5.4,65663
24,Netflix,Romance,2010,3,USA,28,7.7,9.0,272896
25,Netflix,Romance,2023,3,USA,34,7.6,8.7,3375285
26,Disney+,Horreur,2017,4,Canada,40,7.6,4.7,91995
27,Disney+,Thriller,2010,2,France,68,8.6,9.4,75307
28,Netflix,SF,2018,2,UK,61,3.3,5.8,21650
29,Disney+,Romance,2013,4,USA,72,7.8,7.9,102147
30,Prime Video,Biopic,2010,4,Espagne,50,6.0,6.7,7735
31,Netflix,Action,2020,4,Canada,21,5.6,7.1,1657060
32,Disney+,Comedie,2023,3,USA,41,6.8,7.0,56769
33,Disney+,Comedie,2010,5,France,66,6.9,8.1,35413
34,Disney+,Animation,2017,1,USA,42,4.9,6.2,120086
35,Disney+,Drame,2014,3,USA,22,5.6,9.3,454440
36,Prime Video,Biopic,2023,7,Allemagne,76,5.3,8.3,107702
37,Netflix,Action,2022,5,France,23,6.0,6.4,964331
38,Prime Video,Documentaire,2020,2,USA,70,7.6,6.9,77839
39,Disney+,Action,2011,5,Espagne,30,6.5,7.0,45476
40,Prime Video,Horreur,2013,6,France,74,7.3,6.3,146401
41,Prime Video,Drame,2012,3,France,36,6.0,6.4,124412
42,Disney+,Biopic,2023,2,France,59,8.6,7.9,710615
43,Netflix,Horreur,2014,3,France,80,6.5,7.6,598023
44,Disney+,Action,2010,6,USA,33,8.1,6.1,75459
45,Netflix,Action,2020,5,UK,59,7.1,6.9,12900
46,Netflix,Thriller,2020,5,USA,76,6.1,5.5,417285
47,Netflix,Horreur,2015,2,France,23,9.6,9.1,22477
48,Prime Video,Biopic,2023,1,USA,50,8.5,7.8,136418
49,Prime Video,Romance,2021,1,USA,87,6.7,6.7,361505
50,Prime Video,Biopic,2017,4,UK,77,8.1,7.1,3053921
51,Netflix,Action,2010,1,USA,52,7.0,7.9,5507225
52,Netflix,SF,2022,7,France,22,6.7,6.1,315748
53,Netflix,SF,2010,3,France,58,6.2,6.8,6621
54,Prime Video,Documentaire,2015,4,France,23,7.0,7.7,26617
55,Netflix,Animation,2021,7,Canada,69,7.4,5.2,124768
56,Disney+,SF,2015,4,France,42,7.3,7.5,91414
57,Disney+,Action,2015,4,USA,78,7.7,10.0,194796
58,Netflix,Documentaire,2023,1,USA,50,7.0,4.7,200162
59,Disney+,Comedie,2017,3,Canada,61,5.4,8.0,23830
60,Netflix,Biopic,2023,1,Canada,32,7.5,5.2,426400
61,Netflix,Comedie,2022,5,UK,63,6.1,5.0,37163
62,Netflix,Action,2020,4,UK,54,5.0,6.3,209964
63,Disney+,Documentaire,2011,1,USA,26,6.7,7.5,2998263
64,Prime Video,Drame,2013,7,Espagne,66,6.3,7.5,32908
65,Netflix,Action,2018,7,France,23,5.9,6.6,206426
66,Disney+,Romance,2014,1,USA,84,5.4,5.4,85629
67,Netflix,Animation,2020,7,UK,38,7.3,6.6,32311
68,Netflix,Romance,2021,5,UK,52,6.2,4.4,197315
69,Netflix,Drame,2016,5,Espagne,58,5.8,7.9,47365
70,Netflix,Action,2017,7,Canada,64,7.4,6.3,573649
71,Disney+,Romance,2013,1,USA,82,6.7,8.2,451667
72,Prime Video,Comedie,2020,7,USA,54,7.4,5.5,2390047
73,Netflix,Action,2010,7,Allemagne,32,6.7,7.5,560463
74,Disney+,Biopic,2011,6,USA,86,7.4,4.5,462598
75,Netflix,Romance,2018,1,UK,85,5.2,8.6,7016
76,Disney+,Horreur,2010,4,USA,47,8.7,7.4,686345
77,Disney+,Horreur,2012,1,USA,38,4.9,6.3,552506
78,Prime Video,Action,2013,3,USA,70,8.0,6.2,50997
79,Disney+,Documentaire,2013,6,USA,77,6.8,6.4,2715086
80,Netflix,Comedie,2020,3,USA,27,9.5,6.8,703999
81,Prime Video,Romance,2014,6,Canada,39,7.0,4.7,229791
82,Prime Video,Romance,2022,4,USA,39,7.8,6.4,530786
83,Disney+,Drame,2018,2,USA,48,4.5,6.4,341978
84,Disney+,SF,2020,3,USA,60,8.4,8.1,221233
85,Disney+,Documentaire,2022,5,USA,69,7.5,6.1,121089
86,Netflix,Animation,2016,6,Canada,78,4.8,5.5,1123946
87,Disney+,Romance,2020,7,USA,81,6.1,6.7,17786
88,Disney+,Comedie,2021,7,USA,48,6.6,7.6,223804
89,Netflix,Drame,2017,6,France,37,8.3,6.9,1625232
90,Netflix,Comedie,2018,3,USA,24,6.6,6.9,197047
91,Netflix,Biopic,2011,2,Canada,74,5.4,6.9,556193
92,Netflix,Drame,2017,4,Canada,36,6.4,6.6,164059
93,Prime Video,Romance,2012,3,USA,89,7.6,6.1,34642
94,Prime Video,Drame,2015,5,USA,43,6.8,5.8,668617
95,Disney+,Biopic,2013,7,Canada,47,7.7,6.8,1580786
96,Netflix,SF,2020,7,Allemagne,70,4.0,7.2,69183
97,Netflix,SF,2018,4,UK,26,9.1,6.9,382671
98,Netflix,Biopic,2023,4,USA,37,6.9,4.5,255287
99,Netflix,SF,2019,7,USA,59,7.3,8.0,92073
100,Disney+,Romance,2022,5,Allemagne,52,8.0,5.0,966240
101,Prime Video,Thriller,2014,1,USA,36,8.5,5.1,112416
102,Netflix,Animation,2019,2,France,44,8.3,5.4,33292
103,Netflix,Thriller,2017,1,Allemagne,26,6.0,6.2,92570
104,Netflix,SF,2021,1,USA,81,5.0,6.7,126833
105,Disney+,Thriller,2020,2,UK,62,7.6,8.1,57918
106,Netflix,Animation,2020,4,France,82,8.4,8.1,69859
107,Prime Video,Documentaire,2018,2,UK,44,7.6,4.5,27520
108,Disney+,Documentaire,2021,5,USA,76,4.5,4.5,100576
109,Prime Video,Drame,2023,7,USA,41,9.4,8.2,210693
110,Prime Video,Action,2014,1,UK,45,6.4,6.6,40230
111,Disney+,Drame,2012,2,Allemagne,83,8.0,5.5,30610
112,Prime Video,Romance,2011,5,Allemagne,46,4.7,7.6,34023
113,Disney+,Horreur,2019,6,France,27,8.7,8.3,127840
114,Netflix,Documentaire,2016,5,France,63,8.2,7.3,72504
115,Netflix,Biopic,2010,5,USA,51,6.5,5.8,13019
116,Prime Video,Romance,2017,7,UK,80,8.5,4.0,23070
117,Netflix,Romance,2010,4,Espagne,69,7.2,7.5,135931
118,Disney+,Action,2016,3,UK,78,8.0,6.6,87479
119,Netflix,Comedie,2010,4,Canada,63,6.9,5.7,135577
120,Netflix,Romance,2012,6,UK,29,6.1,4.8,1650683
121,Netflix,Action,2014,5,USA,64,9.2,7.1,229611
122,Disney+,Drame,2022,7,USA,61,7.6,6.1,9444
123,Prime Video,Animation,2010,3,UK,76,5.3,7.0,59694
124,Netflix,SF,2013,5,UK,21,7.2,8.0,261379
125,Netflix,Documentaire,2022,6,USA,43,7.8,5.9,56122
126,Prime Video,Animation,2023,4,USA,30,8.3,9.6,34872
127,Disney+,Documentaire,2017,2,France,51,9.6,6.7,603576
128,Netflix,SF,2023,7,France,89,7.7,7.8,82523
129,Prime Video,Horreur,2019,2,France,43,6.1,6.1,41850
130,Netflix,Drame,2015,4,UK,22,6.7,7.6,42595
131,Disney+,SF,2019,5,USA,37,8.6,5.6,1930416
132,Prime Video,Romance,2021,2,Allemagne,71,6.2,7.7,27868
133,Netflix,Biopic,2022,3,France,45,7.2,10.0,113981
134,Disney+,SF,2015,5,Espagne,34,6.4,5.4,124637
135,Netflix,Animation,2011,1,USA,43,6.6,3.8,433823
136,Netflix,Thriller,2019,6,Canada,68,6.7,6.0,45747
137,Netflix,Documentaire,2010,5,USA,49,7.3,7.2,43713
138,Prime Video,Animation,2017,6,USA,39,6.8,6.9,519403
139,Netflix,Animation,2019,6,France,79,5.1,6.3,6382356
140,Netflix,Thriller,2017,6,USA,55,8.5,8.2,66083
