id,plateforme,genre,annee,mois,duree_min,pays_origine,abonnes_chaine,vues,likes,commentaires,taux_retention,score_critique,tendance
0,YouTube,Action,2016,5,7,UK,383410,75207,3809,240,87.1,7.1,0
1,YouTube,Documentaire,2015,3,31,UK,750490,42795,312,53,39.9,6.9,0
2,YouTube,Animation,2020,7,35,France,42657,15331,489,216,77.9,6.0,0
3,YouTube,SF,2021,8,44,France,1891,43288,4879,666,57.6,6.5,0
4,YouTube,SF,2021,4,35,USA,763024,3423,148,9,68.9,5.4,0
5,YouTube,Horreur,2023,10,13,France,2874,190461,6367,290,76.9,6.2,1
6,YouTube,Action,2019,8,23,USA,43300,73710,2015,202,50.5,5.9,0
7,YouTube,Animation,2022,2,28,Espagne,13181,354,25,1,75.2,6.9,0
8,YouTube,Drame,2021,12,59,France,9309,6660,1017,92,68.9,8.8,0
9,YouTube,Action,2017,1,33,USA,101579,100,10,2,80.5,6.2,0
10,YouTube,Romance,2022,8,39,UK,35915,133849,2903,737,53.6,7.7,1
11,YouTube,Biopic,2015,6,44,USA,61480,5221,401,34,74.2,6.7,0
12,YouTube,Documentaire,2020,8,23,France,4309,86849,2206,235,81.4,8.2,1
13,YouTube,Documentaire,2023,10,57,France,15550,2267,113,1,61.9,9.1,0
14,YouTube,Documentaire,2020,9,41,Espagne,4726,100,11,1,41.2,5.7,0
15,YouTube,Documentaire,2023,8,51,France,14792,2176914,140217,54791,68.2,3.9,1
16,YouTube,Romance,2015,11,45,UK,17369,4136,100,1,77.2,4.6,0
17,YouTube,Comedie,2019,9,38,Canada,880819,244,22,2,46.0,8.0,0
18,YouTube,Horreur,2022,10,4,France,13111,52281,10117,808,58.8,7.0,0
19,YouTube,SF,2020,5,36,UK,313,483904,32828,725,88.4,5.0,1
20,YouTube,Romance,2022,3,10,France,358678,1797,37,6,54.2,8.9,0
21,YouTube,Thriller,2019,3,37,France,54096,2325,221,29,74.8,6.0,0
22,YouTube,Comedie,2021,8,42,USA,16949,5405,179,29,95.0,6.0,0
23,YouTube,Biopic,2018,7,34,Espagne,9187,185,13,4,66.8,6.1,0
24,YouTube,Documentaire,2022,1,20,France,3314,530,27,3,52.4,8.4,0
25,YouTube,Animation,2016,3,6,France,1062458,256482,14080,5018,85.6,5.4,1
26,YouTube,SF,2017,12,41,Allemagne,24432,2141,274,37,66.8,8.4,0
27,YouTube,Horreur,2015,9,42,France,681,367,28,0,36.4,7.3,0
28,YouTube,Romance,2021,10,30,Allemagne,42424,962,105,2,73.9,8.5,0
29,YouTube,SF,2017,3,43,UK,245817,43567,2278,57,37.2,7.6,0
30,YouTube,SF,2017,1,47,USA,30117,100,16,0,74.0,7.0,0
31,YouTube,Drame,2022,4,32,Canada,3629,5634,450,46,67.5,7.5,0
32,YouTube,Action,2018,11,5,UK,3034,1404998,20348,25803,91.2,6.6,1
33,YouTube,Romance,2016,7,52,France,3516,478138,49932,6191,91.2,5.4,1
34,YouTube,Horreur,2015,10,29,Espagne,461998,12494,1302,177,75.6,7.5,0
35,YouTube,Action,2017,6,41,Espagne,19085,80106,10660,660,60.8,6.4,1
36,YouTube,Horreur,2023,6,54,Allemagne,767,78203,778,2043,71.6,8.4,0
37,YouTube,Horreur,2019,8,23,UK,47489,2176,400,10,54.9,8.3,0
38,YouTube,Drame,2023,12,38,USA,29204,30091,2419,1133,75.4,7.4,0
39,YouTube,Animation,2016,6,4,USA,8975,260786,51426,3341,53.6,8.0,1
40,YouTube,Comedie,2018,8,53,France,2861,126,22,3,78.5,7.2,0
41,YouTube,Documentaire,2016,12,6,USA,2623,12602,1082,139,78.6,7.3,0
42,YouTube,Documentaire,2018,5,33,UK,193545,7359,442,44,90.5,5.6,0
43,YouTube,Thriller,2020,11,23,UK,36135,3858,34,55,34.8,6.9,0
44,YouTube,Action,2022,7,5,USA,57370,3092,875,29,44.8,7.2,0
45,YouTube,Biopic,2018,11,29,USA,35936,5319,900,38,48.4,7.1,0
46,YouTube,SF,2021,6,56,UK,42420,6561,1761,30,44.1,6.9,0
47,YouTube,Horreur,2020,8,12,USA,8631,48851,3590,190,73.9,6.8,0
48,YouTube,Animation,2017,4,19,Espagne,14593,9811,777,100,66.1,9.6,0
49,YouTube,Documentaire,2023,8,13,UK,226346,1910,44,10,87.4,6.7,0
50,YouTube,Documentaire,2018,4,10,France,372942,365,43,2,90.2,7.6,0
51,YouTube,Comedie,2016,8,16,France,1911,914,108,1,73.0,6.5,0
52,YouTube,Thriller,2023,10,35,UK,14522,5726,962,164,60.9,7.0,0
53,YouTube,SF,2023,6,47,USA,118015,510,26,1,49.5,5.2,0
54,YouTube,SF,2015,6,42,Canada,949945,31719,4987,164,80.1,5.6,0
55,YouTube,Action,2023,4,46,France,777562,8735,2313,74,77.9,5.8,0
56,YouTube,Romance,2023,9,43,France,4484,51990,7757,343,87.0,4.4,0
57,YouTube,Comedie,2022,8,24,USA,282121,603,144,1,75.3,6.7,0
58,YouTube,Documentaire,2017,7,54,UK,24767,373,29,1,74.8,5.2,0
59,YouTube,Animation,2020,1,12,Espagne,177874,51028,7195,343,66.8,4.9,0
60,YouTube,Biopic,2019,2,42,Allemagne,106570,4125,187,101,69.2,9.8,0
61,YouTube,Documentaire,2020,1,9,USA,1758,1796,260,1,73.3,8.3,0
62,YouTube,Thriller,2020,11,46,Canada,66167,17096,2321,263,59.4,9.6,0
63,YouTube,Biopic,2020,11,7,France,164619,15578,1285,513,77.9,6.4,0
64,YouTube,SF,2019,1,15,USA,21156,129,11,2,69.3,6.1,0
65,YouTube,Thriller,2021,1,25,Allemagne,13458,94998,7023,394,80.5,7.2,1
66,YouTube,Biopic,2019,10,42,USA,950,1068,65,17,85.0,7.1,0
67,YouTube,Thriller,2015,7,5,Espagne,86442,208990,20162,378,62.9,6.1,1
68,YouTube,Action,2015,4,17,France,33439,106,3,1,70.7,5.4,0
69,YouTube,SF,2023,8,22,France,3482,6591,939,61,66.8,7.5,0
70,YouTube,Documentaire,2023,3,44,USA,11479,1874,117,3,87.3,4.2,0
71,YouTube,Comedie,2020,3,57,Allemagne,30001,100,5,0,60.3,7.5,0
72,YouTube,SF,2016,5,38,USA,7206,15452,2037,294,67.0,6.1,0
73,YouTube,Comedie,2022,11,31,Canada,22144,100,19,2,72.8,7.8,0
74,YouTube,Animation,2016,10,22,France,665,1437,134,3,77.9,8.2,0
75,YouTube,SF,2018,3,49,UK,327369,47131,4718,22,74.0,7.5,0
76,YouTube,Thriller,2017,7,9,USA,22738,792,100,24,68.8,4.8,0
77,YouTube,Drame,2015,11,10,France,2443,311,30,1,33.9,4.3,0
78,YouTube,Romance,2022,12,14,UK,160,22046,1033,427,84.6,4.2,0
79,YouTube,Animation,2019,10,18,UK,172520,1597,87,13,85.6,5.8,0
80,YouTube,Biopic,2017,2,29,USA,67250,1082,60,1,19.8,4.4,0
81,YouTube,SF,2019,3,56,France,33569,72220,11407,658,88.6,6.5,0
82,YouTube,Comedie,2015,3,40,France,123908,161,15,1,50.0,5.2,0
83,YouTube,Horreur,2018,2,24,Espagne,123228,944,49,3,48.8,5.7,0
84,YouTube,Animation,2019,3,15,UK,32496,26006,2124,218,66.5,6.5,0
85,YouTube,Documentaire,2018,4,39,Canada,13247,137,3,1,52.3,7.1,0
86,YouTube,Action,2022,7,17,UK,9563,252298,20570,258,82.5,5.3,1
87,YouTube,Thriller,2017,5,58,Canada,51117,1733,45,18,62.8,5.9,0
88,YouTube,Documentaire,2016,6,30,France,360073,26537,2935,105,19.9,7.0,0
89,YouTube,Horreur,2019,3,34,USA,17929,26399,4167,221,68.8,6.3,0
90,YouTube,SF,2022,2,54,UK,422081,2037,345,14,53.7,6.3,0
91,YouTube,Horreur,2018,12,20,France,46458,900,59,23,75.1,7.5,0
92,YouTube,Horreur,2015,8,29,France,47163,2677,230,28,49.3,5.2,0
93,YouTube,Thriller,2023,3,33,UK,2703935,17706,1136,22,92.1,7.8,0
94,YouTube,Horreur,2018,10,18,Allemagne,600403,253,13,1,44.6,9.9,0
95,YouTube,Drame,2016,10,6,UK,632362,147,5,2,76.6,6.9,0
